src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.20.48.101,172.66.169.65,47930,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:57:59,5184.412002563477,57865.771441710735,771.5436192228099,385.77180961140493,385.77180961140493,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,1728.1373341878254,4091.024398803711,112.05673217773438,1708.0858375105308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
172.20.48.101,104.21.2.209,54352,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:08,54623.84223937988,5492.107250260793,73.2280966701439,36.61404833507195,36.61404833507195,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,18207.94741312663,53745.269775390625,103.23524475097656,25130.17960906274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
172.20.48.101,104.20.26.16,40492,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:08,5027.532577514648,59671.41840944658,795.6189121259544,397.8094560629772,397.8094560629772,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,1675.8441925048828,4381.895065307617,97.75161743164062,1922.27100266972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
172.20.48.101,108.158.57.2,55788,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:08,26640.41519165039,11261.085754174945,150.14781005566593,75.07390502783296,75.07390502783296,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,8880.138397216797,26028.156280517578,107.52677917480469,12126.56398208969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
172.20.48.101,172.217.24.138,50958,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:09,27972649.812698364,35.74920526642576,0.5004888737299606,0.2502444368649803,0.2502444368649803,7,7,480,520,93.0,54.0,68.57142857142857,17.450805489859142,127.0,60.0,74.28571428571429,24.346981541950566,127,54,71.42857142857143,21.373261953445766,456.81632653061234,140,140,20,3,2151742.29328449,27958039.52217102,66.99562072753906,7449636.550025653,27972649.812698364,27958126.068115234,133.99124145507812,4662108.302116394,10418296.151875896,27971821.546554565,27958108.1867218,181.43653869628906,4661970.257759094,10418349.81072243,0,0,0,0,1,0,0,0,0,0,0,1.0,71.42857142857143,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,4147.472127230028,68.57142857142857,74.28571428571429,0,7,7,480,520
172.20.48.101,151.101.157.91,54644,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:09,5969.524383544922,52600.50547168304,670.0701333972362,335.0350666986181,335.0350666986181,2,2,154,160,100.0,54.0,77.0,23.0,100.0,60.0,80.0,20.0,100,54,78.5,21.6043977004683,466.75,40,40,20,1,1989.8414611816406,5258.321762084961,155.92575073242188,2316.9078441326537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,78.5,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,80.0,0,2,2,154,160
172.20.48.101,108.158.57.2,55804,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:09,29746.055603027344,10085.370780032701,134.47161040043602,67.23580520021801,67.23580520021801,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,9915.351867675781,29277.324676513672,120.40138244628906,13691.298479918996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
172.20.48.101,151.101.130.137,49604,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:10,38549.42321777344,7782.2176042749,103.762901390332,51.881450695166,51.881450695166,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,12849.807739257812,37633.657455444336,111.10305786132812,17527.115398941896,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
172.20.48.101,142.251.222.194,43488,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:10,22645558.35723877,44.15876986668977,0.6182227781336568,0.3091113890668284,0.3091113890668284,7,7,480,520,93.0,54.0,68.57142857142857,17.450805489859142,127.0,60.0,74.28571428571429,24.346981541950566,127,54,71.42857142857143,21.373261953445766,456.81632653061234,140,140,20,3,1741966.0274799054,22632639.64653015,63.18092346191406,6030618.323218817,22645558.35723877,22632728.338241577,123.26240539550781,3774259.7262064614,8433763.97557119,22644890.308380127,22632747.650146484,372.17140197753906,3774148.384730021,8433822.31151292,0,0,0,0,1,0,0,0,0,0,0,1.0,71.42857142857143,65535,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.57142857142857,74.28571428571429,0,7,7,480,520
172.20.48.101,142.251.221.194,52110,443,00:0c:29:e7:5c:b2,00:50:56:fd:a8:68,6,2026-01-28 18:58:11,8727.073669433594,34375.78406731505,458.3437875642006,229.1718937821003,229.1718937821003,2,2,147,153,93.0,54.0,73.5,19.5,93.0,60.0,76.5,16.5,93,54,75.0,18.12456896039186,328.5,40,40,20,1,2909.0245564778647,7748.126983642578,87.26119995117188,3437.4854019932886,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,65535,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,76.5,0,2,2,147,153
